"opportunity_number","nofo_type","opportunity_title","summary.post_date","summary.close_date","opportunity_status","all_concepts","run_date"
"<a href = ""https://simpler.grants.gov/opportunity/f570f767-ac1d-4ce4-975a-c32403e028e1"" target = ""_blank"">PAR-25-179</a>","PAR","Confirmatory Efficacy Clinical Trials of Non-Pharmacological and Pharmacological Interventions for Mental Disorders (R01 Clinical Trial Required)",2024-11-26,2027-10-15,"Posted","Pediatrics; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/94973af9-6bcf-42f1-b5e6-cc2288b9b4de"" target = ""_blank"">PAR-25-180</a>","PAR","First in Human and Early Stage Clinical Trials of Novel Investigational Drugs or Neuromodulatory Device-based Interventions for Psychiatric Disorders (U01 Clinical Trial Required)",2024-11-26,2027-10-15,"Posted","Pediatrics; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/c60789ce-21db-4ba1-9cb1-ef7f670c1957"" target = ""_blank"">PAR-25-285</a>","PAR","Effectiveness Trials to Test Mental Health System Interventions (R61/R33 Clinical Trial Required)",2024-11-26,2027-10-15,"Posted","Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/637a8204-317d-41ff-9424-7790e8f205e5"" target = ""_blank"">PAR-25-158</a>","PAR","Prevention and Intervention Approaches for Fetal Alcohol Spectrum Disorders (R61/R33 Clinical Trial Optional)",2024-11-25,2026-11-17,"Posted","Pregnancy & Lactation","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/a7d210c3-a31d-4c04-a39e-6b5206dc858f"" target = ""_blank"">PAR-25-159</a>","PAR","Prevention and Intervention Approaches for Fetal Alcohol Spectrum Disorders (R34 Clinical Trial Optional)",2024-11-25,2027-01-07,"Posted","Pregnancy & Lactation","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/2535c6aa-2e20-495b-9a25-5deabefc9f21"" target = ""_blank"">PAR-25-281</a>","PAR","Mood and Psychosis Symptoms during the Menopause Transition (R01 Clinical Trial Optional)",2024-11-22,2028-01-07,"Posted","Reproductive Health","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/9e356693-4109-428d-82ca-d7d5577a06dc"" target = ""_blank"">PAR-25-282</a>","PAR","Mood and Psychosis Symptoms during the Menopause Transition (R21 Clinical Trial Optional)",2024-11-22,2028-01-07,"Posted","Reproductive Health","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/2ce00c65-6a64-4598-8adf-11920c911975"" target = ""_blank"">PAR-25-248</a>","PAR","Utilizing the PLCO Biospecimens Resource to Bridge Gaps in Cancer Etiology and Early Detection Research (U01 Clinical Trial Not Allowed)",2024-11-21,2027-10-08,"Posted","Reproductive Health","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/e1dcb919-4710-49c3-9263-4849a1e8a507"" target = ""_blank"">PAR-25-207</a>","PAR","Effectiveness Trials for Post-Acute Interventions and Services to Optimize Longer-term Outcomes (R01 Clinical Trial Required)",2024-10-31,2028-01-07,"Posted","Pediatrics; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/0a58aeb3-6d3d-43ed-b3c9-6140500c2c06"" target = ""_blank"">PAR-24-269</a>","PAR","NIDA Animal Genomics Program (U01  Clinical Trial Not Allowed)",2024-08-13,2027-02-11,"Posted","Pregnancy & Lactation; Pharmacology & Therapeutics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/30ea9a22-7365-4503-8052-498cc211d382"" target = ""_blank"">RFA-CA-24-026</a>","RFA","National Cancer Institute Youth Enjoy Science Research Education Program (R25 Clinical Trial Not Allowed)",2024-07-09,2026-09-28,"Posted","Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/45fe2547-7a23-494a-bc97-54870123f3f0"" target = ""_blank"">PAR-24-204</a>","PAR","Summer Research Education Experience Program (R25 Clinical Trial Not Allowed)",2024-06-14,2027-05-07,"Posted","Pediatrics","2026-07-06"
"<a href = ""https://simpler.grants.gov/opportunity/40dbcca5-d2a3-4934-9140-1135236dde8e"" target = ""_blank"">PAR-23-284</a>","PAR","Specialized Programs of Research Excellence (SPOREs) in Human Cancers for Years 2024, 2025, and 2026 (P50 Clinical Trial Required)",2023-09-22,2026-09-25,"Posted","Reproductive Health; Pediatrics","2026-07-06"
